City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dunedin,NZ,-45.8742,170.5036,286.58,92,100,5.62,overcast clouds
1,Upernavik,GL,72.7868,-56.1549,242.52,98,81,2.87,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,286.21,67,0,5.14,clear sky
3,Rikitea,PF,-23.1203,-134.9692,299.19,77,34,8.17,light rain
4,Busselton,AU,-33.65,115.3333,292.48,60,4,3.23,clear sky
5,Atuona,PF,-9.8,-139.0333,299.18,69,2,5.65,clear sky
6,Palana,RU,59.1167,159.9667,253.95,94,77,3.29,broken clouds
7,Penticton,CA,49.4806,-119.5858,279.03,87,75,2.06,broken clouds
8,Hithadhoo,MV,-0.6,73.0833,300.57,75,100,5.36,overcast clouds
9,Lochgilphead,GB,56.038,-5.4321,279.53,81,69,9.01,broken clouds
10,Arraial do Cabo,BR,-22.9661,-42.0278,297.07,100,75,1.03,broken clouds
11,Mataura,NZ,-46.1927,168.8643,285.32,94,100,1.64,overcast clouds
12,Esperance,AU,-33.8667,121.9,295.31,74,4,7.5,clear sky
13,Hong Kong,HK,22.2855,114.1577,291.45,94,99,7.82,overcast clouds
14,Mahébourg,MU,-20.4081,57.7,297.31,83,75,2.06,broken clouds
15,Lüderitz,NA,-26.6481,15.1594,292.08,73,100,3.08,overcast clouds
16,Coquimbo,CL,-29.9533,-71.3436,292.0,82,20,4.12,few clouds
17,Dingtao,CN,35.0683,115.5625,274.16,76,1,2.8,clear sky
18,Mehamn,NO,71.0357,27.8492,268.12,80,99,3.09,overcast clouds
19,Mar del Plata,AR,-38.0023,-57.5575,295.98,88,0,8.05,clear sky
20,Puerto Ayora,EC,-0.7393,-90.3518,296.23,89,23,1.79,few clouds
21,Albany,US,42.6001,-73.9662,271.81,74,84,2.01,broken clouds
22,Vila,PT,42.0304,-8.1588,280.64,98,100,2.95,light rain
23,Provideniya,RU,64.3833,-173.3,260.21,66,20,10.0,few clouds
24,Tuatapere,NZ,-46.1333,167.6833,288.16,63,87,3.24,overcast clouds
25,Zemio,CF,5.0314,25.1361,294.38,36,90,1.58,overcast clouds
26,Ponta do Sol,PT,32.6667,-17.1,291.5,79,9,1.84,clear sky
27,Salalah,OM,17.0151,54.0924,294.2,78,0,1.54,clear sky
28,Chui,UY,-33.6971,-53.4616,293.07,87,35,5.07,scattered clouds
29,Pevek,RU,69.7008,170.3133,248.87,96,100,0.48,overcast clouds
30,Hofn,IS,64.2539,-15.2082,275.92,74,100,7.76,overcast clouds
31,Vardø,NO,70.3705,31.1107,269.14,86,75,10.29,broken clouds
32,Paamiut,GL,61.994,-49.6678,267.35,69,100,2.73,overcast clouds
33,Kencong,ID,-8.2833,113.3667,299.72,77,98,0.94,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,246.38,98,100,1.56,overcast clouds
35,Yulara,AU,-25.2406,130.9889,301.98,47,2,2.57,clear sky
36,Bluff,NZ,-46.6,168.3333,286.64,66,78,5.36,broken clouds
37,Eyl,SO,7.9803,49.8164,296.08,78,10,5.1,clear sky
38,Tutóia,BR,-2.7619,-42.2744,299.84,77,35,6.31,scattered clouds
39,Hermanus,ZA,-34.4187,19.2345,288.04,79,95,2.46,overcast clouds
40,Clyde River,CA,70.4692,-68.5914,243.22,91,6,3.05,clear sky
41,Mt. Pleasant,US,32.7941,-79.8626,285.37,82,0,2.57,clear sky
42,Mayumba,GA,-3.432,10.6554,298.49,87,62,2.47,light rain
43,Saint-Philippe,RE,-21.3585,55.7679,296.92,81,27,4.73,scattered clouds
44,Saint Anthony,US,45.0205,-93.218,272.58,91,100,1.54,mist
45,Ushuaia,AR,-54.8,-68.3,284.96,71,75,8.23,broken clouds
46,Praia,CV,14.9215,-23.5087,295.57,80,25,6.95,scattered clouds
47,Verkhnyaya Balkariya,RU,43.1279,43.4573,259.66,62,47,1.97,scattered clouds
48,Nikolskoye,RU,59.7035,30.7861,272.09,89,100,6.03,overcast clouds
49,São Mateus,BR,-18.7161,-39.8589,297.62,90,89,3.01,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,296.32,47,97,0.89,overcast clouds
51,Tuktoyaktuk,CA,69.4541,-133.0374,237.15,75,20,1.03,few clouds
52,Hobart,AU,-42.8794,147.3294,295.96,51,20,2.57,few clouds
53,Yellowknife,CA,62.456,-114.3525,250.32,100,68,2.2,broken clouds
54,Kupang,ID,-10.1667,123.5833,299.47,94,75,1.54,broken clouds
55,Thunder Bay,CA,48.4001,-89.3168,272.1,93,100,5.66,light snow
56,Aba,NG,5.1066,7.3667,297.52,85,100,2.04,overcast clouds
57,Makakilo City,US,21.3469,-158.0858,301.33,48,0,6.69,clear sky
58,Bilibino,RU,68.0546,166.4372,249.29,98,100,1.43,overcast clouds
59,Cape Town,ZA,-33.9258,18.4232,291.99,80,0,4.47,clear sky
60,Puerto Escondido,MX,15.85,-97.0667,300.61,69,0,0.0,clear sky
61,Fortuna,US,40.5982,-124.1573,285.34,87,100,3.09,overcast clouds
62,Kaberamaido,UG,1.7389,33.1594,295.37,66,92,2.27,overcast clouds
63,Hilo,US,19.7297,-155.09,302.75,67,0,5.66,clear sky
64,Provost,CA,52.3501,-110.2683,262.4,97,100,0.99,overcast clouds
65,Naze,JP,28.3667,129.4833,289.53,60,87,5.16,overcast clouds
66,Lebu,CL,-37.6167,-73.65,286.73,72,0,9.18,clear sky
67,Innisfail,AU,-17.5333,146.0333,301.41,70,100,0.8,overcast clouds
68,Zhigansk,RU,66.7697,123.3711,238.58,98,100,4.97,overcast clouds
69,Hualmay,PE,-11.0964,-77.6139,294.61,75,73,3.65,broken clouds
70,Westport,US,41.1415,-73.3579,278.14,67,100,2.06,overcast clouds
71,Castro,BR,-24.7911,-50.0119,290.51,95,69,1.0,broken clouds
72,Bozoum,CF,6.3193,16.3799,292.16,23,43,1.82,scattered clouds
73,Banjar,ID,-8.19,114.9675,299.51,77,100,2.59,overcast clouds
74,Port Macquarie,AU,-31.4333,152.9167,299.76,62,77,4.51,broken clouds
75,Simpang,ID,-1.2667,104.0833,296.9,95,100,1.02,moderate rain
76,Takoradze,GH,4.8845,-1.7554,299.09,86,50,1.84,scattered clouds
77,Guerrero Negro,MX,27.9769,-114.0611,290.83,66,70,6.88,broken clouds
78,Torbay,CA,47.6666,-52.7314,270.14,91,75,3.09,light shower snow
79,General Roca,AR,-39.0333,-67.5833,301.27,12,78,8.63,broken clouds
80,Barrow,US,71.2906,-156.7887,248.16,77,0,7.72,clear sky
81,Touros,BR,-5.1989,-35.4608,299.38,74,41,5.17,scattered clouds
82,Jamestown,US,42.097,-79.2353,273.95,49,100,0.0,overcast clouds
83,Kaitangata,NZ,-46.2817,169.8464,285.87,89,100,3.81,overcast clouds
84,Manali,IN,13.1667,80.2667,295.2,83,10,3.32,clear sky
85,Bibiani,GH,6.4635,-2.3194,293.76,79,2,0.57,clear sky
86,Calama,CL,-22.4667,-68.9333,292.42,11,0,9.26,clear sky
87,Grindavik,IS,63.8424,-22.4338,275.41,80,75,4.12,broken clouds
88,Kapoeta,SS,4.7717,33.5903,299.97,35,15,2.42,few clouds
89,East London,ZA,-33.0153,27.9116,296.02,93,5,0.83,clear sky
90,Chokurdakh,RU,70.6333,147.9167,228.09,100,74,0.79,broken clouds
91,Nānākuli,US,21.3906,-158.1547,302.12,42,0,6.69,clear sky
92,Kaoma,ZM,-14.7833,24.8,291.44,95,100,1.72,light rain
93,Kimbe,PG,-5.5502,150.1429,303.05,67,97,0.69,overcast clouds
94,Butaritari,KI,3.0707,172.7902,300.44,76,8,6.49,light rain
95,Baisha,CN,26.5222,110.9311,282.85,68,8,1.14,clear sky
96,Chapais,CA,49.7834,-74.8492,252.03,100,84,1.47,broken clouds
97,Altay,CN,47.8667,88.1167,262.66,96,100,0.9,overcast clouds
98,Asău,RO,46.4333,26.4,278.86,99,100,2.2,light rain
99,Conceição das Alagoas,BR,-19.9147,-48.3883,297.03,89,98,2.62,overcast clouds
100,Saint George,US,37.1041,-113.5841,283.68,86,100,11.32,heavy intensity rain
101,Wolverhampton,GB,52.5855,-2.123,282.75,88,100,0.89,overcast clouds
102,Osakarovka,KZ,50.565,72.5692,239.43,100,63,3.16,broken clouds
103,Lagoa,PT,39.05,-27.9833,287.78,59,77,3.65,broken clouds
104,Maraã,BR,-1.8333,-65.3667,296.15,96,96,1.58,overcast clouds
105,Jati,PK,24.3539,68.2671,291.45,88,0,3.46,clear sky
106,Cayambe,EC,0.05,-78.1333,282.74,95,98,0.82,light rain
107,Adrar,MR,20.5022,-10.0711,291.51,11,100,6.05,overcast clouds
108,Aswān,EG,24.0934,32.907,286.8,51,0,3.65,clear sky
109,Bima,ID,-8.4667,118.7167,300.26,76,86,1.35,overcast clouds
